Page,Placement,Asset Type,Suggested Keywords,Suggested Source,Notes,Example Filename
Home,Hero top banner,Photo (WebP),veterinarian with dog; vet clinic reception; pet owner at vet; animal hospital interior,https://unsplash.com/s/photos/veterinary,"Wide hero 16:9, subtle overlay text",home_hero.webp
Home,Feature tiles (Services),Illustrations,pet care illustrations; vaccination illustration; grooming illustration; vet checkup illustration,https://storyset.com/animals,Use same style pack for consistency,services_illustrations_set.svg
Home,Trust badges,Icons (SVG),shield check; award; clock; stethoscope,https://lucide.dev/icons/,"Line icons, 24–32px",icon_shield-check.svg
Home,CTA button icon,Icon (SVG),calendar plus; calendar check,https://tabler.io/icons,Use outline style,icon_calendar-plus.svg
Home,Testimonials avatars,Avatars,human avatars; pet owner avatars,https://www.dicebear.com/styles/avataaars,Generate consistent avatars,avatar_owner1.svg
Services,Service card icon,Icon (SVG),paw print; syringe; tooth; bandage; microscope; heart pulse,https://phosphoricons.com,One icon per service,icon_paw-print.svg
Services,Service card thumbnail,Photo (WebP),dog vaccination; cat checkup; pet dental cleaning; pet grooming,https://pexels.com/search/veterinarian,Square 1:1 crop,svc_vaccination.webp
Services,Empty state,Illustration,pets line illustration; empty state veterinary,https://undraw.co/illustrations,Muted colors,empty_services.svg
Appointment,Header banner,Illustration,calendar scheduling; booking appointment illustration; reminder alarm,https://storyset.com/time,Keep light-weight SVG,appt_header.svg
Appointment,Step icons,Icons (SVG),numbered steps; pet; calendar; clock; check,https://heroicons.com,Outline 24px,step_calendar.svg
Appointment,Time slot badge,Icon (SVG),clock; time; schedule,https://icons8.com/icons/set/clock,Use inline SVG if possible,icon_clock.svg
Appointment,Success screen,Illustration,check mark; pet with vet; success confirmation,https://storyset.com/success,Green accent,appt_success.svg
Auth,Left panel artwork,Illustration,pet owner sign in; secure login; authentication illustration,https://undraw.co/illustrations,Keep centered form; artwork on side,auth_side.svg
Auth,Social proof strip,Logos (Optional),clinic logo; partner logos,https://simpleicons.org,Monochrome SVG,logo_placeholder.svg
Owner Dashboard,Header avatar,Avatar (SVG),user avatar neutral; pet owner avatar,https://www.dicebear.com/styles/micah,Auto-generated based on name,owner_avatar.svg
Owner Dashboard,Widget icons,Icons (SVG),calendar; bell; paw; message,https://lucide.dev/icons/,Consistent stroke,icon_bell.svg
Owner Dashboard,Empty appointments,Illustration,no events calendar; empty schedule pet,https://storyset.com/time,Invite to book,empty_appointments.svg
My Pets,Pet profile photo,Photo (WebP),dog portrait white background; cat portrait studio; pet profile,https://unsplash.com/s/photos/pet-portrait,"Square 1:1, center face",pet_profile_dog.webp
My Pets,Species icons,Icons (SVG),dog; cat; rabbit; bird; hamster,https://tabler.io/icons,Use same set across app,icon_dog.svg
My Pets,Vaccination card,Icon (SVG),syringe; certificate; shield,https://phosphoricons.com,Badge on card,icon_syringe.svg
About,Team headshots,Photos (WebP),veterinarian portrait; veterinary team; clinic staff,https://pexels.com/search/veterinarian%20team/,3:4 or 1:1 portraits,team_vet1.webp
About,Clinic exterior,Photo (WebP),animal hospital exterior; veterinary clinic building,https://unsplash.com/s/photos/animal-hospital,Use as banner or gallery,clinic_exterior.webp
